property-title,rating,price,link,location,latitude,longitude
Hotel Regent Marine The Blue,Scored 8.4 8.4,,https://www.booking.com/hotel/kr/regentmarine-the-blue.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
Ramada by Wyndham Jeju City Hall,Scored 8.1 8.1,,https://www.booking.com/hotel/kr/ramada-jeju-city-hall.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
Yaho Beach House,Scored 9.0 9.0,,https://www.booking.com/hotel/kr/hamdeoghaebyeon-coegoyi-jeonmang-yahobicihauseu-direogseu-deobeul-jeongaegsil-ba.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jocheon, Jeju",,
Ocean Suites Jeju Hotel,Scored 8.1 8.1,,https://www.booking.com/hotel/kr/ocean-suites-jeju-jeju.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
Ventimo Hotel & Residence Jeju,Scored 8.9 8.9,,https://www.booking.com/hotel/kr/bentimo-aen-rejideonseu-jeju.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
Hotel Whistlelark Jeju,Scored 7.7 7.7,,https://www.booking.com/hotel/kr/whistle.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
BeachBoys - Retro Caravan AirStream,Scored 8.6 8.6,,https://www.booking.com/hotel/kr/reteuro-gamseongkaraban-eeoseuteurim-biciboiseu-boy21.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Aewol, Jeju",,
Hotel White House,Scored 7.9 7.9,,https://www.booking.com/hotel/kr/white-house.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
MJ Resort,Scored 9.6 9.6,,https://www.booking.com/hotel/kr/mj-resort.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Gujwa, Jeju",,
Elin Hotel,Scored 8.5 8.5,,https://www.booking.com/hotel/kr/elin.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
Hotel Leo,Scored 8.7 8.7,,https://www.booking.com/hotel/kr/leo.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
Hotel Yeon,Scored 9.3 9.3,,https://www.booking.com/hotel/kr/hotelyeon.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Seogwipo City, Seogwipo",,
JEJU Amoje,Scored 9.5 9.5,,https://www.booking.com/hotel/kr/jejuamoze.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Seogwipo City, Seogwipo",,
저지맨션,,,https://www.booking.com/hotel/kr/jeojimaensyeon.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,Myŏngi-dong,,
In Stay Guesthouse,Scored 9.2 9.2,,https://www.booking.com/hotel/kr/in-stay.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Seogwipo City, Seogwipo",,
Sea Stay Hotel,Scored 8.2 8.2,,https://www.booking.com/hotel/kr/sea-stay.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Aewol, Jeju",,
금등첨화,,,https://www.booking.com/hotel/kr/geumdeungceomhwa.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,P'anp'o-ri,,
LOTTE City Hotel Jeju,Scored 8.5 8.5,,https://www.booking.com/hotel/kr/lotte-city-jeju.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from_sustainable_property_sr=1&from=searchresults,"Jeju City, Jeju",,
Jeju Central City Hotel,Scored 7.4 7.4,,https://www.booking.com/hotel/kr/jeju-central-city.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
Sea View Hotel,,,https://www.booking.com/hotel/kr/po-sean-hotel-naedo-ri.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,Jeju,,
Ebenezer Hotel,,,https://www.booking.com/hotel/kr/po-ebenezer-hotel.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jocheon, Jeju",,
Shin Shin Hotel Jeju City,Scored 8.0 8.0,,https://www.booking.com/hotel/kr/jeju-shangrila.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,Jeju,,
Astar Hotel,Scored 8.7 8.7,,https://www.booking.com/hotel/kr/astar.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
Asia Hotel Jeju,Scored 9.0 9.0,,https://www.booking.com/hotel/kr/asiahotel-jeju.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
Check Inn Hotel,,,https://www.booking.com/hotel/kr/po-check-inn-hotel-jeju-city.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARojwKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Aqmb574GwAIB0gIkNDllY2I3M2QtNmQ4ZS00NjRlLTgxOWQtZmMwZTJiMzViY2Rl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=6a7f8b148fde00eb&srepoch=1742327212&from=searchresults,"Jeju City, Jeju",,
